Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
1055112780,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112811,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112816,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112817,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112840,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112850,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112881,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112882,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055112923,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113000,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113001,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113002,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113109,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113128,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113182,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113220,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113308,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113309,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113317,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113378,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113379,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113395,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113401,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113402,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113403,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113404,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113407,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113408,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113413,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113414,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113417,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113446,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
1055113517,Longa Distancia Nacional - Fixo,0,4,0.69,30,6
