Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55193482,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55673712,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333352,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493332,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493332,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613902,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613616,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613502,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613613,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613609,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613619,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613618,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613617,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613616,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613618,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613613,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613617,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55613619,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55483245,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473359,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333765,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55553265,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55553265,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55142151,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55143262,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55143261,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413624,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413624,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413174,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833499,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633454,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633906,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633550,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633454,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793276,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55163248,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55163258,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55623447,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333267,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733547,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55283556,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55323537,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883502,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883524,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55353344,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193539,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55553387,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55553829,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55553387,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55943307,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743681,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793447,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55353366,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833273,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833365,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753253,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743632,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883530,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873839,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833278,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55893442,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753423,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753422,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753421,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753183,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753182,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753181,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753163,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753403,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753032,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753052,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753181,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753421,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753423,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753031,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753183,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753366,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753403,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753033,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753182,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753422,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55153274,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55153374,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55153374,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55153274,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55513853,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55353446,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55242220,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55242258,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55673275,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873802,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55843277,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983337,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
